# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: Luuma
# Propiedad: www.luumarooftop.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260521
# Fecha de finalización: 20260818
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/eventos-luuma/luigi-en-vivo/,0,26,0,6.576923076923077,0,0,0,0,0,0,0
/eventos-luuma/luis-en-vivo/,0,10,0,7.8,0,0,0,0,0,0,0
/eventos-luuma/martha-loor-en-vivo/,0,19,0,6,0,0,0,0,0,0,0
/eventos-luuma/montes-en-vivo/,0,4,0,9.25,0,0,0,0,0,0,0
/eventos-luuma/montes-music-en-vivo-2/,0,2,0,8,0,0,0,0,0,0,0
/eventos-luuma/montes-music-en-vivo-3/,0,10,0,9.8,0,0,0,0,0,0,0
/eventos-luuma/montes-music-en-vivo/,0,5,0,8.2,0,0,0,0,0,0,0
/eventos-luuma/randy-y-dimas-en-vivo/,0,16,0,5.9375,0,0,0,0,0,0,0
/eventos-luuma/rock-latino-en-vivo/,0,6,0,5.833333333333333,0,0,0,0,0,0,0
/eventos-luuma/rumba-band-en-vivo/,0,4,0,6.5,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-alejandra-guzman-y-gloria-trevi-en-vivo-2/,0,11,0,6.818181818181818,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-ana-gabriel-y-marisela-en-vivo/,0,1,0,4,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-chayanne-y-ricardo-montaner-en-vivo/,0,2,0,7.5,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-gloria-trevi-y-alejandra-guzman-en-vivo/,0,6,0,6.166666666666667,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-ha-ash-y-jesse-joy-en-vivo/,0,1,0,9,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-myrian-hernandez-yuridia-y-marbelle-en-vivo/,0,1,0,6,0,0,0,0,0,0,0
/eventos-luuma/tributo-a-selena-y-marisela-en-vivo/,0,8,0,7.125,0,0,0,0,0,0,0
/gastronomia-manta/encebollado-manta-donde-comer/,0,23,0,4.739130434782609,0,0,0,0,0,0,0
/gastronomia-manta/restaurantes-estacionamiento-manta/,0,404,0,7.368811881188119,0,0,0,0,0,0,0
/gastronomia-manta/restaurantes-reservaciones-manta-2/,0,148,0,6.22972972972973,0,0,0,0,0,0,0
/gastronomia-manta/restaurantes-reservaciones-manta/,0,101,0,7.930693069306931,0,0,0,0,0,0,0
/menu-ejecutivo/,0,128,0,8.9296875,0,0,0,0,0,0,0
/menu-ejecutivo/11dic/,0,5,0,8.6,0,0,0,0,0,0,0
/recetas-cocina/tonga-manabita-que-es-receta/,0,109,0,7.844036697247707,0,0,0,0,0,0,0
/recetas-cocina/viche-manabita-sopa-costa/,0,17,0,8.705882352941178,1,1,1,7,4,0,0
/tag/agenda-manta/,0,1,0,1,0,0,0,0,0,0,0
/tag/agenda-musical-manta/,0,1,0,1,0,0,0,0,0,0,0
/tag/almorzar-manta/,0,3,0,12,0,0,0,0,0,0,0
/tag/almuerzos-manta/,0,18,0,10.5,0,0,0,0,0,0,0
/tag/aniversario-manta/,0,2,0,8,0,0,0,0,0,0,0
/tag/artesanias-manabi/,0,2,0,10,0,0,0,0,0,0,0
/tag/atardecer-manta/,0,2,0,5.5,0,0,0,0,0,0,0
/tag/atractivos-manta/,0,1,0,10,0,0,0,0,0,0,0
/tag/bandas-manta/,0,5,0,7.8,0,0,0,0,0,0,0
/tag/barbasquillo/,0,2,0,10,0,0,0,0,0,0,0
/tag/bares-flavio-reyes/,0,8,0,6.625,0,0,0,0,0,0,0
/tag/bares-manta/,0,20,0,9.45,0,0,0,0,0,0,0
/tag/bollo-manabita/,0,1,0,10,0,0,0,0,0,0,0
/tag/bolon-verde/,0,1,0,12,0,0,0,0,0,0,0
/tag/brunch-dominical/,0,1,0,7,0,0,0,0,0,0,0
/tag/brunch-manta/,0,38,0,9.236842105263158,0,0,0,0,0,0,0
/tag/bus-manta/,0,1,0,11,0,0,0,0,0,0,0
/tag/cena-vista-al-mar/,0,5,0,7.8,0,0,0,0,0,0,0
/tag/cerveza-craft-manta/,0,6,0,2.833333333333333,0,0,0,0,0,0,0
/tag/ceviche-barato-manta/,0,6,0,7,0,0,0,0,0,0,0
/tag/clima-manta/,0,1,0,20,0,0,0,0,0,0,0
/tag/coctel-manabita/,0,12,0,7.833333333333333,0,0,0,0,0,0,0
/tag/coctel-maracuya/,0,2,0,5,0,0,0,0,0,0,0
/tag/coctel-mojito/,0,2,0,8,0,0,0,0,0,0,0
/tag/cocteles-manta/,0,31,0,8.032258064516128,0,0,0,0,0,0,0
/tag/comida-saludable-manta/,0,58,0,8.89655172413793,0,0,0,0,0,0,0
/tag/como-moverse-manta/,0,2,0,2,0,0,0,0,0,0,0
/tag/conciertos-manta/,0,35,0,8.542857142857143,0,0,0,0,0,0,0
/tag/corviche/,0,10,0,9.3,0,0,0,0,0,0,0
/tag/cumpleanos-manta/,0,8,0,11,0,0,0,0,0,0,0
/tag/desayuno-manabita/,0,2,0,10,0,0,0,0,0,0,0
/tag/desayunos-manta/,0,5,0,9,0,0,0,0,0,0,0
/tag/donde-comer-manta/,0,70,0,9.742857142857142,0,0,0,0,0,0,0
/tag/donde-tomar-copa-manta/,0,1,0,13,0,0,0,0,0,0,0
/tag/encocado/,0,1,0,7,0,0,0,0,0,0,0
/tag/evento-privado-manta/,0,16,0,9.5,0,0,0,0,0,0,0
/tag/eventos-manta/,0,9,0,7.111111111111111,0,0,0,0,0,0,0
/tag/faro-san-lorenzo/,0,29,0,10.793103448275861,0,0,0,0,0,0,0
/tag/feriados-manta/,0,1,0,1,0,0,0,0,0,0,0
/tag/fin-de-semana-romantico/,0,1,0,8,0,0,0,0,0,0,0
/tag/flavio-reyes/,0,20,0,9.3,0,0,0,0,0,0,0
/tag/gastronomia-manta/,0,1,0,2,0,0,0,0,0,0,0
/tag/huevos-benedictinos-manta/,0,1,0,9,0,0,0,0,0,0,0
/tag/iguana-cerveza/,0,11,0,10.454545454545455,0,0,0,0,0,0,0
/tag/la-quadra/,0,2,0,7.5,0,0,0,0,0,0,0
/tag/luuma-carta/,0,46,0,15.978260869565217,0,0,0,0,0,0,0
/tag/luuma-rooftop/,0,1,0,7,0,0,0,0,0,0,0
/tag/manabi/,0,3,0,7.666666666666667,0,0,0,0,0,0,0
/tag/mani-tostado/,0,2,0,9.5,0,0,0,0,0,0,0
/tag/manta-a-montanita/,0,1,0,17,0,0,0,0,0,0,0
/tag/manta-a-puerto-lopez/,0,5,0,11,0,0,0,0,0,0,0
/tag/manta-desde-guayaquil/,0,3,0,4.666666666666666,0,0,0,0,0,0,0
/tag/manta-desde-quito/,0,10,0,6.9,0,0,0,0,0,0,0
/tag/manta-ecuador/,0,19,0,4.2631578947368425,0,0,0,0,0,0,0
/tag/mariscos-manta/,0,7,0,10.857142857142858,0,0,0,0,0,0,0
/tag/marisquerias-manta/,0,15,0,12.8,0,0,0,0,0,0,0
/tag/menu-ejecutivo-manta/,0,53,0,8.641509433962264,0,0,0,0,0,0,0
/tag/mimosa/,0,2,0,8.5,0,0,0,0,0,0,0
/tag/mixologia-manta/,0,3,0,8.333333333333332,0,0,0,0,0,0,0
/tag/musica-en-vivo-manta/,0,10,0,7.8,1,1,1,57,7,0,0
/tag/naranja-agria/,0,2,0,20.5,0,0,0,0,0,0,0
/tag/paramo-cerveza/,0,4,0,13.75,0,0,0,0,0,0,0
/tag/platano-verde/,0,1,0,1,0,0,0,0,0,0,0
/tag/platos-tipicos/,0,4,0,11,0,0,0,0,0,0,0
/tag/playa-murcielago-manta/,0,5,0,9.4,0,0,0,0,0,0,0
/tag/playas-manta/,0,31,0,11.451612903225806,0,0,0,0,0,0,0
/tag/que-hacer-manta/,0,3,0,2.333333333333333,0,0,0,0,0,0,0
/tag/que-ver-en-manta/,0,2,0,50,0,0,0,0,0,0,0
/tag/receta-bollo/,0,3,0,2.666666666666667,0,0,0,0,0,0,0
/tag/restaurantes-manta/,0,72,0,8.76388888888889,0,0,0,0,0,0,0
/tag/rooftop-fiesta/,0,1,0,12,0,0,0,0,0,0,0
/tag/rooftop-manta/,0,6,0,9.5,0,0,0,0,0,0,0
/tag/rooftop-romantico/,0,4,0,30,0,0,0,0,0,0,0
/tag/rooftop/,0,2,0,1,0,0,0,0,0,0,0
/tag/rooftops-manta/,0,1,0,87,0,0,0,0,0,0,0
/tag/ruta-del-sol/,0,1,0,9,0,0,0,0,0,0,0
